"","Country","Region","Year","HealthSpendingPercent","SuicideRate","Country_Name","GDP_per_Capita","GINI_Index","SuicideRate_sqrt"
"472","POL","Europe",2011,6.28672,18.07941,"Poland",29018.326,0.33180645,4.25198894636381
"473","MKD","Europe",2017,6.43909,5.32349,"North Macedonia",20327.588,0.34198847,2.30726894834564
"474","CRI","Americas",2002,6.86909,6.5299,"Costa Rica",14670.719,0.51812834,2.55536690124921
"475","AUS","Western Pacific",2018,10.05163,13.40378,"Australia",56600.438,0.34332561,3.66111731579309
"476","IRL","Europe",2015,7.32119,9.43213,"Ireland",80644.28,0.31820488,3.07117729869182
"477","HUN","Europe",2010,7.44858,25.55878,"Hungary",28156.037,0.2944413,5.05556920633078
"478","HND","Americas",2003,6.89005,3.41431,"Honduras",4714.867,0.580804,1.8477851606721
"479","BOL","Americas",2018,6.60399,5.40646,"Bolivia",9907.0625,0.4257908,2.32517956295853
"480","SVK","Europe",2021,7.75625,9.91209,"Slovakia",38437.492,0.2411022,3.14834718542921
"481","SWE","Europe",2016,10.8524,14.02348,"Sweden",59981.418,0.29561213,3.74479371928548
"482","EST","Europe",2019,6.81699,15.61,"Estonia",43435.2,0.30765438,3.95094925302768
"483","LUX","Europe",2008,6.23101,13.02526,"Luxembourg",137533.73,0.32561544,3.60905250723788
"484","PAK","Eastern Mediterranean",2018,2.82845,6.2223,"Pakistan",5255.0635,0.29589266,2.49445384803969
"485","CHE","Europe",2019,11.42589,14.22617,"Switzerland",80315.68,0.3399834,3.77175953634375
"486","WSM","Western Pacific",2008,4.53258,11.13823,"Samoa",6182.763,0.4204655,3.33739868760087
"487","GHA","Africa",2005,3.50288,4.46527,"Ghana",3721.3079,0.42760354,2.11311854849651
"488","UKR","Europe",2015,7.78353,22.41221,"Ukraine",15403.71,0.2545754,4.73415356742892
"489","DOM","Americas",2020,4.93967,4.18059,"Dominican Republic",19721.32,0.39628294,2.04464911415137
"490","BEL","Europe",2000,7.99918,22.06645,"Belgium",51482.816,0.33135915,4.69749401276894
"491","HND","Americas",2018,7.22821,3.02048,"Honduras",6219.28,0.48936284,1.73795281869215
"492","ISR","Europe",2015,7.02218,4.50715,"Israel",40827.438,0.3971953,2.12300494582561
"493","MOZ","Africa",2008,4.13497,8.12136,"Mozambique",1141.9425,0.45489126,2.84979999298196
"494","PAN","Americas",2009,6.9858,4.79764,"Panama",21822.988,0.51770425,2.19035156995401
"495","BLR","Europe",2005,6.07036,40.51841,"Belarus",16579.873,0.2755341,6.36540729254617
"496","VNM","Western Pacific",2012,5.00178,7.2187,"Vietnam",7979.868,0.35645887,2.68676385266737
"497","THA","South-East Asia",2008,3.45934,9.14727,"Thailand",15891.217,0.40288273,3.02444540370627
"498","NIC","Americas",2009,7.68584,5.81908,"Nicaragua",5492.955,0.43941638,2.41227693269243
"499","COL","Americas",2009,7.31135,4.09505,"Colombia",13834.497,0.54283005,2.02362298860237
"500","CRI","Americas",2017,7.04523,5.57746,"Costa Rica",22895.232,0.4834524,2.3616646671363
"501","KGZ","Europe",2021,5.35275,6.80154,"Kyrgyzstan",5736.479,0.2879339,2.60797622688551
"502","SWZ","Africa",2016,6.82045,25.83757,"Eswatini",9497.017,0.54579794,5.08306698755781
"503","CHE","Europe",2017,11.41295,14.40023,"Switzerland",78328.09,0.32676333,3.79476349724196
"504","ZAF","Africa",2000,7.33662,13.13252,"South Africa",11197.515,0.5776966,3.62388189653029
"505","LAO","Western Pacific",2012,2.07638,4.80878,"Laos",5608.9697,0.35963547,2.19289306624833
"506","BGR","Europe",2010,7.09478,12.39917,"Bulgaria",21888.504,0.3565347,3.52124551827901
"507","AUT","Europe",2005,9.62703,17.22405,"Austria",57508.98,0.28715184,4.1501867427864
"508","COL","Americas",2014,7.18553,3.79913,"Colombia",16780.871,0.52543414,1.94913570589633
"509","AUT","Europe",2000,9.20371,19.75339,"Austria",54116.547,0.28964692,4.444478597091
"510","IDN","South-East Asia",2005,2.53189,1.99752,"Indonesia",7140.8545,0.2990362,1.41333647798392
"511","EST","Europe",2004,5.33759,25.5467,"Estonia",28172.957,0.33559534,5.05437434308145
"512","MKD","Europe",2018,6.45699,5.45782,"North Macedonia",21019.49,0.32960445,2.33619776560119
"513","EST","Europe",2020,7.57906,17.53942,"Estonia",42099.355,0.30737108,4.18800907353363
"514","DOM","Americas",2017,4.49337,6.69561,"Dominican Republic",19414.002,0.42192984,2.58758767967387
"515","FIN","Europe",2021,9.83458,14.57026,"Finland",57350.87,0.27708507,3.81710099421013
"516","IND","South-East Asia",2019,2.953,13.97581,"India",7930.0913,0.33812764,3.73842346451014
"517","EGY","Eastern Mediterranean",2004,4.85732,0.94703,"Egypt",10451.821,0.31847546,0.973154663966628
"518","CZE","Europe",2020,9.15722,12.72753,"Czechia",47196.45,0.26245132,3.56756639741996
